Gender,Age,Height (in cm)[1 feet =30.48 cm],Weight (in kg),For how long in a day do you carry your bag,"How many hours in a day do you overexert your shoulders (eg: heavy-lifting, pulling)",No. of hours in a day standing straight,No. of hours in a day standing in a slouched position,No. of hours in a day standing with more pressure on one leg
0,20,167,63,2,2,4,1,0
0,18,165,63,5,1,1,0,2
1,19,180,105,3,3,6,1,4
1,21,168,65,2,1,3,3,1
1,19,160,60,1,0,1,1,0
1,19,180,75,2,1,1,3,1
0,20,165,60,2,0,4,0,1
1,22,174,60,2,1,1,1,1
1,21,180,79,2,1,3,1,2
0,21,173,68,2,1,2,0,1
1,20,168,65,4,2,3,4,1
0,19,150,45,2,2,2,3,1
1,20,165,61,2,0,2,1,1
1,19,176,80,3,2,2,4,0
1,19,172,65,4,4,4,2,1
1,20,170,52,1,0,1,5,0
0,21,155,52,5,2,2,4,4
0,21,155,52,5,3,2,4,4
0,19,149,53,2,2,1,1,1
1,21,170,73,3,2,2,2,2
1,20,177,48,3,0,0.1,0,1
0,19,160,70,1,1,1,0,1
0,20,158,52,2,2,2,2,2
1,21,170,64,2,0,2,0,0
0,21,150,46,2,2,1,2,1
1,21,175,73,5,1,2,0,1
1,20,180,68,5,2,4,2,3
0,21,164,65,3,3,3,4,2
1,20,185,75,1,0,1,0,1
0,21,158,56,2,1,2,1,1
1,19,185,95,2,2,2,1,0
1,18,125,50,1,0,1,0,1
1,21,170,53,5,1,2,1,1
1,21,187,86,2,2,3,2,1
1,27,187,82,0,0,1,1,0
0,21,160,50,5,2,6,2,0
1,21,180,82,2,1,2,0,1
0,20,160,50,2,2,1,2,2
0,21,180,55,2,1,2,2,1
0,19,161,50,3,2,1,2,1
1,21,165,64,3,2,2,2,2
0,21,173,50,5,2,4,2,2
1,19,182,67,5,2,5,2,2
0,21,150,55,3,2,3,1,4
0,21,160,58,1,1,1,1,1
1,20,173,65,2,1,4,1,2
0,19,154,54,1,1,1,1,1
1,20,183,89,2,0,2,2,0
1,20,173,70,4,4,4,1,2
1,20,178,100,1,2,1,1,0
1,20,180,75,4,0,0,0,0
1,19,172,60,5,4,4,2,4
1,19,166,75,2,1,5,2,1
1,20,180,50,1,1,2,2,1
1,21,165,63,1,1,6,1,1
1,21,179,63,1,2,3,5,0
1,20,185,77,2,1,1,0,1
1,18,180,60,1,0,2,1,1
1,20,154,78,2,1,2,0,1
1,19,168,55,3,2,1,0,1
1,20,170,66,2,1,2,1,0
